Enterobacterales,Pseudomonas,S. maltophilia,Acinetobacter,Staphylococcus,Enterococcus,"Streptococcus A,B,C,G",S. pneumoniae,Viridans group Streptococci,H. influenzae,M. catarrhalis,N. gonorrheae,N. meningitidis,Bacteroides,Prevotella,F. necrophorum,C. perfringens,C. acnes,C. difficile,H. pylori,L. monocytogenes,Pasteurella,Campylobacter jejuni and coli,Corynebacterium,Corynebacterium diphteriae and ulcerans,Aerococcus sanguinicola and urinae,K. kingae,Aeromonas,A. xylosoxidans,Vibrio,Bacillus,B. pseudomallei,Candida and Cryptococcus,Aspergillus
Salmonella enterica Ilala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ilugun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Imo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Inchpark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Inganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Inglis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Inpraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Inverness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ipeko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ipswich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Irchel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Irenea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Irigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Irumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Isangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Isaszeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Istoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Isuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Itami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Itutaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ivorycoast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ivrysurseine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jaffna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jalisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jambur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jangwani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Javiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jedburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jericho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Joal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jodhpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Johannesburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Juba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jubilee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Jukestown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kaapstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kabete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kaduna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kaevlinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kahla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kainji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kaitaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kalamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kalumburu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kambole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kamoru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kampala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kandla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kaneshie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kanifing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kaolack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kapemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Karamoja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Karaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Karlshamn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kasenyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kassberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kassel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kastrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kedougou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kermel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kethiabarny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Keurmassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Keve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kiambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kibi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kibusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kidderminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kikoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kimberley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kimpese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kimuenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kingabwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kinondoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kintambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kirkee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kisangani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kisarawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kisii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kitenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Klouto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Koblenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kodjovi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Koenigstuhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Koessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kofandoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Koketime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kokoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kokomlemle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kolda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Konolfingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Konongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Konstanz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Korbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Korkeasaari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Korlebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Korovi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kortrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kottbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kouka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Koumra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kpeme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kralingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Krefeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kristianstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kubacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kuessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kumasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kunduchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kuntair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Kuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Labadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lamberhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lamphun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lancaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Landala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Landau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Landwasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Langenhorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Langensalza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Langeveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lansing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Laredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Larochelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Larose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lattenkamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lawndale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lawra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leatherhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lechler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leeuwarden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Legon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lehrte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lekke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lemmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leoben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Leopoldville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lerum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lexington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lezennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Libreville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ligeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ligna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Limete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lindenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lindern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Linguere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lingwala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Linton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lishabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Litchfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Livingstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Livulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ljubljana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Llandoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Llobregat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Loanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lockleaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lodz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Loenga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Logone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lokomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lokstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lomalinda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lomita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lomnava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lonestar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Losangeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Loubomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Louga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lovelace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lowestoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lubumbashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Luciana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Luckenwalde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Luedinghausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Luke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lutetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maastricht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Macallen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Macclesfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Machaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Madelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Madiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Madigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Madjorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Magherafelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Magumeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Magwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mahina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maiduguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Makiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Makiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Malakal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Malika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Malmoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Malstatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mampeza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mampong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mandera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mannheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maracaibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Marburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maricopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Marienthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maritzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Marmande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maroua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Marsabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Martonos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Marylebone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Masembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Massakory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Massenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Massilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Matadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mathura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Matopeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mattenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Maumee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mayday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mbandaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mbao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Meekatharra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Melaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Meleagridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Menden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Menston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Mesbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Meskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Messina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
